/Users/pslive1/Documents/Walk_Projext/BDL037_Suna_Walk_Take2/BDL037_Suna_EyeTracking_Walk2_Render/BDL037_Suna_EyeTracking_Walk2_Render.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes
BDL037_Suna_EyeTracking_Walk2_Render.mov,109,fixation,1543,51365.000000,51698.333333,333.333333,51130.000000,00:00:51.49800,229.300000,283.660000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,110,fixation,1579,52600.000000,52866.666667,266.666667,52331.666667,00:00:52.70000,303.750000,62.970000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,111,fixation,1605,53066.666667,54135.000000,1068.333333,53200.000000,00:00:53.56800,274.370000,122.450000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,112,fixation,1643,54701.666667,55036.666667,335.000000,54468.333333,00:00:54.83700,283.670000,148.840000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,113,fixation,1672,55203.333333,56471.666667,1268.333333,55435.000000,00:00:55.80300,308.310000,254.380000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,114,fixation,1700,56705.000000,56871.666667,166.666667,56370.000000,00:00:56.73800,256.020000,144.850000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,115,fixation,1707,56871.666667,57138.333333,266.666667,56603.333333,00:00:56.97200,270.070000,140.810000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,116,fixation,1717,57138.333333,57540.000000,401.666667,56936.666667,00:00:57.30500,292.880000,213.440000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,117,fixation,1729,57706.666667,57806.666667,100.000000,57338.333333,00:00:57.70700,365.480000,295.250000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,118,fixation,1732,57806.666667,57906.666667,100.000000,57438.333333,00:00:57.80700,316.480000,250.620000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,119,fixation,1739,58006.666667,58140.000000,133.333333,57671.666667,00:00:58.04000,294.320000,183.440000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,120,fixation,1746,58273.333333,58373.333333,100.000000,57905.000000,00:00:58.27300,301.540000,350.050000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,121,fixation,1757,58473.333333,58875.000000,401.666667,58271.666667,00:00:58.64000,287.540000,218.250000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,122,fixation,1767,58875.000000,59141.666667,266.666667,58606.666667,00:00:58.97500,273.690000,203.640000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,123,fixation,1776,59141.666667,59508.333333,366.666667,58906.666667,00:00:59.27500,292.780000,212.560000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,124,fixation,1786,59508.333333,59775.000000,266.666667,59240.000000,00:00:59.60800,269.190000,153.850000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,125,fixation,1798,59775.000000,60343.333333,568.333333,59640.000000,00:01:00.00800,302.940000,202.060000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,126,fixation,1848,60476.666667,62980.000000,2503.333333,61310.000000,00:01:01.67800,321.590000,238.590000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,127,fixation,1891,63046.666667,63246.666667,200.000000,62745.000000,00:01:03.11300,234.720000,52.020000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,128,fixation,1899,63313.333333,63513.333333,200.000000,63011.666667,00:01:03.38000,281.960000,131.700000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,129,fixation,1907,63613.333333,63780.000000,166.666667,63278.333333,00:01:03.64700,202.350000,1.300000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,130,fixation,1918,63880.000000,64215.000000,335.000000,63645.000000,00:01:04.01300,302.100000,193.380000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,131,fixation,1927,64215.000000,64481.666667,266.666667,63946.666667,00:01:04.31500,291.500000,170.690000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,132,fixation,1979,64481.666667,67718.333333,3236.666667,65681.666667,00:01:06.05000,331.900000,187.500000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,133,fixation,2029,67718.333333,67818.333333,100.000000,67350.000000,00:01:07.71800,310.280000,234.130000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,134,fixation,2034,67851.666667,67985.000000,133.333333,67516.666667,00:01:07.88500,308.360000,280.460000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,135,fixation,2041,68051.666667,68286.666667,235.000000,67751.666667,00:01:08.12000,311.480000,200.400000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,136,fixation,2071,68286.666667,70055.000000,1768.333333,68751.666667,00:01:09.12000,257.520000,179.340000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,137,fixation,2102,70055.000000,70321.666667,266.666667,69786.666667,00:01:10.15500,303.200000,213.220000,-1000.000000,-1000.000000,,,
BDL037_Suna_EyeTracking_Walk2_Render.mov,138,fixation,2111,70355.000000,70621.666667,266.666667,70086.666667,00:01:10.45500,229.070000,74.550000,-1000.000000,-1000.000000,,,
