/Users/pslive1/Documents/Walk_Projext/BDL004_Goose_EyeTracking_Walk/BDL004_Goose_EyeTracking_Walk.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,ToCut
BDL004_Goose_EyeTracking_Walk.mov,130,fixation,1947,64986.66667,65086.66667,100,64918.33333,01:05.0,220.16,393.17,72,62,
BDL004_Goose_EyeTracking_Walk.mov,131,fixation,1953,65153.33333,65286.66667,133.333333,65118.33333,01:05.2,161.06,404.41,69,60,
BDL004_Goose_EyeTracking_Walk.mov,132,fixation,1961,65320,65653.33333,333.333333,65385,01:05.5,145.68,411.43,62,46,
BDL004_Goose_EyeTracking_Walk.mov,133,fixation,1972,65786.66667,65920,133.333333,65751.66667,01:05.8,161.49,340.93,54,49,
BDL004_Goose_EyeTracking_Walk.mov,134,fixation,1982,65920,66455,535,66085,01:06.2,161.47,382.58,50,46,
BDL004_Goose_EyeTracking_Walk.mov,135,fixation,1994,66521.66667,66655,133.333333,66486.66667,01:06.6,150.58,344.38,47,48,
BDL004_Goose_EyeTracking_Walk.mov,136,fixation,1998,66655,66821.66667,166.666667,66620,01:06.7,151.03,409.47,42,47,
BDL004_Goose_EyeTracking_Walk.mov,137,fixation,2003,66821.66667,66955,133.333333,66786.66667,01:06.9,211.19,325.23,33,41,
BDL004_Goose_EyeTracking_Walk.mov,138,fixation,2010,67021.66667,67221.66667,200,67020,01:07.1,142.98,339.29,48,41,
BDL004_Goose_EyeTracking_Walk.mov,139,fixation,2024,67355,67823.33333,468.333333,67488.33333,01:07.6,183.43,315.15,28,30,
BDL004_Goose_EyeTracking_Walk.mov,140,fixation,2044,68190,68356.66667,166.666667,68155,01:08.2,247.93,252.77,39,43,
BDL004_Goose_EyeTracking_Walk.mov,141,fixation,2060,68556.66667,69025,468.333333,68688.33333,01:08.8,232.63,360.23,32,38,
BDL004_Goose_EyeTracking_Walk.mov,142,fixation,2089,69591.66667,69958.33333,366.666667,69656.66667,01:09.7,234,313.41,80,88,
BDL004_Goose_EyeTracking_Walk.mov,143,fixation,2098,69991.66667,70160,168.333333,69956.66667,01:10.0,238.47,344.77,86,91,
BDL004_Goose_EyeTracking_Walk.mov,144,fixation,2110,70426.66667,70526.66667,100,70358.33333,01:10.4,174.87,138.66,73,78,
BDL004_Goose_EyeTracking_Walk.mov,145,fixation,2127,70960,71093.33333,133.333333,70925,01:11.0,139.87,349.23,90,71,
BDL004_Goose_EyeTracking_Walk.mov,146,fixation,2147,71661.66667,71761.66667,100,71593.33333,01:11.7,254.4,287.45,61,54,
BDL004_Goose_EyeTracking_Walk.mov,147,fixation,2175,71761.66667,73496.66667,1735,72526.66667,01:12.6,228.08,317.84,22,37,
BDL004_Goose_EyeTracking_Walk.mov,148,fixation,2206,73563.33333,73796.66667,233.333333,73561.66667,01:13.6,189.29,403.96,21,34,
BDL004_Goose_EyeTracking_Walk.mov,149,fixation,2230,73965,74998.33333,1033.333333,74363.33333,01:14.4,212.73,322.76,28,21,
BDL004_Goose_EyeTracking_Walk.mov,150,fixation,2249,74998.33333,75233.33333,235,74996.66667,01:15.1,188.28,369.13,27,20,
