,/Users/pslive1/Documents/Walk_Projext/BDL079_Daisy_Walk_RouteP1/BDL079_Daisy_Walk_RouteP1.mov,FixationNum,ProductCode,FrameNumber,StartFix(ms),EndFix(ms),Duration(ms),TimeSinceFirstCodedFixation(ms),MovieTime(HH:MM:SS.SSSSS),PORX,PORY,PupilWidth,PupilHeight,SubjectGender,SubjectAge,Notes,all_classes,fixation_classes,fixation_classes_no_background,union_areas,percentage_area
780,BDL079_Daisy_Walk_RouteP1.mov,780,fixation,11884,396641.666667,396741.666667,100.0,396606.666667,00:06:36.64200,106.48,175.41,-1000.0,-1000.0,,,,building pavement plant_vertical plant_vertical pole sky,background: 1.0,,0.6771875,pavement:0.44575846354166665 plant_vertical:0.11166666666666666 building:0.066083984375 pole:0.00333984375 sky:0.05848958333333333
781,BDL079_Daisy_Walk_RouteP1.mov,781,fixation,11890,396741.666667,397008.333333,266.666667,396806.666667,00:06:36.84200,107.73,167.43,-1000.0,-1000.0,,,,building building pavement plant_vertical plant_vertical plant_vertical pole sky,plant_vertical: 0.0004583371528096067 background: 0.9995416628471904,plant_vertical: 1.0,0.7355045572916666,building:0.16594401041666668 plant_vertical:0.3119986979166667 pavement:0.37259765625 sky:0.07179361979166667 pole:0.0023470052083333333
782,BDL079_Daisy_Walk_RouteP1.mov,782,fixation,11895,397008.333333,397108.333333,100.0,396973.333333,00:06:37.00800,137.38,180.15,-1000.0,-1000.0,,,,building plant_vertical plant_vertical sky,background: 1.0,,0.24847981770833333,plant_vertical:0.13835286458333335 building:0.06348307291666666 sky:0.05154622395833333
783,BDL079_Daisy_Walk_RouteP1.mov,783,fixation,11899,397108.333333,397241.666667,133.333333,397106.666667,00:06:37.14200,341.02,186.69,-1000.0,-1000.0,,,,building pavement plant_vertical sky,plant_vertical: 0.262234842158009 pavement: 0.014865542007683313 building: 0.6033906798062468 background: 0.1195089360280608,plant_vertical: 0.2978279427108034 pavement: 0.016883240064497772 building: 0.6852888172246988,0.6727669270833333,plant_vertical:0.13984700520833335 sky:0.09729166666666667 pavement:0.357099609375 building:0.122890625
784,BDL079_Daisy_Walk_RouteP1.mov,784,fixation,11923,397241.666667,398710.0,1468.333333,397908.333333,00:06:37.94300,98.87,198.99,-1000.0,-1000.0,,,,building building pavement pavement plant_vertical plant_vertical plant_vertical sky,building: 0.09016985905312613 plant_vertical: 0.8147813516443801 background: 0.09504878930249368,building: 0.0996405750798722 plant_vertical: 0.9003594249201278,0.8634733072916667,building:0.24608072916666668 pavement:0.33391927083333334 plant_vertical:0.33206705729166663 sky:0.10050455729166667
785,BDL079_Daisy_Walk_RouteP1.mov,785,fixation,12009,400813.333333,400913.333333,100.0,400778.333333,00:06:40.81300,295.12,197.49,-1000.0,-1000.0,,,,building building pavement plant_horizontal plant_vertical plant_vertical plant_vertical sky,pavement: 0.2650786899191833 building: 0.011229264142917908 building: 0.14070608251807742 plant_vertical: 0.18672905146746066 sky: 0.0603998298596342 plant_vertical: 0.02713738834538494 background: 0.30871969374734154,pavement: 0.38346049716957914 building: 0.016244154565591928 building: 0.20354417917794734 plant_vertical: 0.2701206005414718 sky: 0.08737386167856263 plant_vertical: 0.03925670686684716,0.7687955729166667,pavement:0.4159700520833333 building:0.234853515625 plant_vertical:0.08622395833333332 plant_horizontal:0.028330078125 sky:0.029391276041666668
786,BDL079_Daisy_Walk_RouteP1.mov,786,fixation,12024,401046.666667,401648.333333,601.666667,401278.333333,00:06:41.31300,135.07,197.27,-1000.0,-1000.0,,,,building building pavement plant_horizontal plant_horizontal plant_vertical plant_vertical plant_vertical sky,building: 1.0 background: 0.0,building: 1.0,0.8844010416666667,building:0.2952506510416667 plant_vertical:0.16257161458333336 pavement:0.41522786458333333 sky:0.034654947916666665 plant_horizontal:0.05284830729166667
787,BDL079_Daisy_Walk_RouteP1.mov,787,fixation,12040,401781.666667,401981.666667,200.0,401813.333333,00:06:41.84800,94.8,191.69,-1000.0,-1000.0,,,,building pavement plant_horizontal plant_vertical plant_vertical pole sky,building: 0.9196390201976794 plant_vertical: 0.07847013321873657 background: 0.0018908465835840139,building: 0.921381210712133 plant_vertical: 0.07861878928786704,0.7562923177083334,building:0.3369856770833333 pavement:0.31999348958333335 plant_vertical:0.07180013020833334 sky:0.0038313802083333333 pole:0.0013704427083333333 plant_horizontal:0.044541015625
788,BDL079_Daisy_Walk_RouteP1.mov,788,fixation,12062,402048.333333,403216.666667,1168.333333,402546.666667,00:06:42.58200,119.45,162.43,-1000.0,-1000.0,,,,building pavement pavement plant_horizontal plant_vertical,plant_vertical: 0.9534329452745439 background: 0.046567054725456046,plant_vertical: 1.0,0.8039680989583333,pavement:0.2852376302083333 building:0.31464518229166666 plant_vertical:0.13745768229166666 plant_horizontal:0.08727213541666666
789,BDL079_Daisy_Walk_RouteP1.mov,789,fixation,12103,403850.0,404116.666667,266.666667,403915.0,00:06:43.95000,67.05,151.32,-1000.0,-1000.0,,,,building pavement plant_horizontal plant_vertical,plant_horizontal: 0.839123659363828 building: 0.025208543404528373 background: 0.1356677972316436,plant_horizontal: 0.9708346590306501 building: 0.02916534096934988,0.9012272135416667,plant_vertical:0.022369791666666666 plant_horizontal:0.5445670572916667 building:0.09465494791666666 pavement:0.24653645833333335
